table,cell,printed
Table 8,BM25 (alpha=0) CI low,-0.1007
Table 8,BM25 (alpha=0) CI high,-0.0576
Table 8,Dense (alpha=1) nDCG@10,0.4562
Table 8,Dense (alpha=1) delta vs dense,0.0
Table 8,Dense (alpha=1) CI low,0.0
Table 8,Dense (alpha=1) CI high,0.0
Table 8,RRF (k=60) nDCG@10,0.4822
Table 8,RRF (k=60) delta vs dense,0.026
Table 8,RRF (k=60) CI low,0.0105
Table 8,RRF (k=60) CI high,0.0418
Table 8,Fixed alpha*=0.65 nDCG@10,0.5089
Table 8,Fixed alpha*=0.65 delta vs dense,0.0527
Table 8,Fixed alpha*=0.65 CI low,0.0405
Table 8,Fixed alpha*=0.65 CI high,0.0651
Table 8,"Learned: RandomForest(50,d5) nDCG@10",0.4711
Table 8,"Learned: RandomForest(50,d5) delta vs dense",0.0149
Table 8,"Learned: RandomForest(50,d5) CI low",-0.0022
Table 8,"Learned: RandomForest(50,d5) CI high",0.0324
Table 8,"Learned: RandomForest(500,d16) nDCG@10",0.4731
Table 8,"Learned: RandomForest(500,d16) delta vs dense",0.017
Table 8,"Learned: RandomForest(500,d16) CI low",0.0001
Table 8,"Learned: RandomForest(500,d16) CI high",0.0343
Table 8,Learned: GradientBoosting(500) nDCG@10,0.4675
Table 8,Learned: GradientBoosting(500) delta vs dense,0.0114
Table 8,Learned: GradientBoosting(500) CI low,-0.0059
Table 8,Learned: GradientBoosting(500) CI high,0.029
Table 8,Oracle alpha (ceiling) nDCG@10,0.5753
Table 8,Oracle alpha (ceiling) delta vs dense,0.1192
Table 8,Oracle alpha (ceiling) CI low,0.1061
Table 8,Oracle alpha (ceiling) CI high,0.1327
Table 8,BM25 (alpha=0) recomputed from curves,0.377
Table 8,Dense (alpha=1) recomputed from curves,0.4562
Table 8,Fixed alpha*=0.65 recomputed from curves,0.5089
Table 8,Oracle alpha recomputed from curves,0.5753
Table 8,RRF (k=60) recomputed from curves,0.4822
Table 9,"RandomForest(50,d5) CV R2",0.096
Table 9,"RandomForest(50,d5) Spearman rho",0.319
Table 9,"RandomForest(50,d5) MAE",0.268
Table 9,"RandomForest(50,d5) MAE of constant predictor",0.3
Table 9,"RandomForest(500,d16) CV R2",0.076
Table 9,"RandomForest(500,d16) Spearman rho",0.315
Table 9,"RandomForest(500,d16) MAE",0.267
Table 9,"RandomForest(500,d16) MAE of constant predictor",0.3
Table 9,GradientBoosting(500) CV R2,-0.078
Table 9,GradientBoosting(500) Spearman rho,0.271
Table 9,GradientBoosting(500) MAE,0.279
Table 9,GradientBoosting(500) MAE of constant predictor,0.3
Table 9,mutual information query_len,0.017
Table 9,mutual information dense_std,0.039
Table 9,mutual information bm25_std,0.054
Table 9,mutual information dense_cv,0.009
Table 9,mutual information bm25_cv,0.013
Table 9,mutual information has_identifier,0.006
Section 4.2,highest single-feature mutual information,0.054
Table 3,candidate-survival ASR A0_static_templates x D0_none,0.0
Table 3,candidate-survival ASR A0_static_templates x D1_3feat_tiny,0.0
Table 3,candidate-survival ASR A0_static_templates x D1b_3feat_trained,0.0
Table 3,candidate-survival ASR A0_static_templates x D2_embed_probe,0.0
Table 3,candidate-survival ASR A0_static_templates x D3_distilbert,0.0
Table 3,candidate-survival ASR A0_static_templates x D4_guard_zeroshot,0.0
Table 3,candidate-survival ASR A0_static_templates x D5_perplexity,0.0
Table 3,candidate-survival ASR A1_query_conditioned x D0_none,0.99
Table 3,candidate-survival ASR A1_query_conditioned x D1_3feat_tiny,0.0
Table 3,candidate-survival ASR A1_query_conditioned x D1b_3feat_trained,0.02
Table 3,candidate-survival ASR A1_query_conditioned x D2_embed_probe,0.92
Table 3,candidate-survival ASR A1_query_conditioned x D3_distilbert,0.03
Table 3,candidate-survival ASR A1_query_conditioned x D4_guard_zeroshot,0.0
Table 3,candidate-survival ASR A1_query_conditioned x D5_perplexity,0.0
Table 3,candidate-survival ASR A2_imperative_free x D0_none,1.0
Table 3,candidate-survival ASR A2_imperative_free x D1_3feat_tiny,0.99
Table 3,candidate-survival ASR A2_imperative_free x D1b_3feat_trained,1.0
Table 3,candidate-survival ASR A2_imperative_free x D2_embed_probe,0.74
Table 3,candidate-survival ASR A2_imperative_free x D3_distilbert,0.02
Table 3,candidate-survival ASR A2_imperative_free x D4_guard_zeroshot,0.0
Table 3,candidate-survival ASR A2_imperative_free x D5_perplexity,0.22
Table 3,candidate-survival ASR A3_semantic_camouflage x D0_none,1.0
Table 3,candidate-survival ASR A3_semantic_camouflage x D1_3feat_tiny,1.0
Table 3,candidate-survival ASR A3_semantic_camouflage x D1b_3feat_trained,1.0
Table 3,candidate-survival ASR A3_semantic_camouflage x D2_embed_probe,0.98
