table,cell,printed,regenerated,tolerance,source,status
Table 10,nfcorpus alpha_learned_override budget 0,0.358,0.35788,0.0006,recomputed,PASS
Table 10,nfcorpus alpha_learned_override budget 100 (CE top-100),0.353,0.353032,0.0006,recomputed,PASS
Table 10,nfcorpus alpha_oracle budget 0,0.404,0.403788,0.0006,recomputed,PASS
Table 10,nfcorpus alpha_oracle budget 100 (CE top-100),0.357,0.356934,0.0006,recomputed,PASS
Table 10,scidocs |D|,25657.0,25657.0,0.0,recomputed,PASS
Table 10,scidocs |Q|,1000.0,1000.0,0.0,recomputed,PASS
Table 10,scidocs bm25 budget 0,0.151,0.150523,0.0006,recomputed,PASS
Table 10,scidocs bm25 budget 100 (CE top-100),0.164,0.163705,0.0006,recomputed,PASS
Table 10,scidocs dense budget 0,0.216,0.216439,0.0006,recomputed,PASS
Table 10,scidocs dense budget 100 (CE top-100),0.18,0.18017,0.0006,recomputed,PASS
Table 10,scidocs rrf budget 0,0.199,0.198526,0.0006,recomputed,PASS
Table 10,scidocs rrf budget 100 (CE top-100),0.169,0.168949,0.0006,recomputed,PASS
Table 10,scidocs alpha_fixed budget 0,0.218,0.218362,0.0006,recomputed,PASS
Table 10,scidocs alpha_fixed budget 100 (CE top-100),0.175,0.175486,0.0006,recomputed,PASS
Table 10,scidocs alpha_learned budget 0,0.189,0.189075,0.0006,recomputed,PASS
Table 10,scidocs alpha_learned budget 100 (CE top-100),0.169,0.168633,0.0006,recomputed,PASS
Table 10,scidocs alpha_learned_override budget 0,0.19,0.189722,0.0006,recomputed,PASS
Table 10,scidocs alpha_learned_override budget 100 (CE top-100),0.169,0.168535,0.0006,recomputed,PASS
Table 10,scidocs alpha_oracle budget 0,0.264,0.263783,0.0006,recomputed,PASS
Table 10,scidocs alpha_oracle budget 100 (CE top-100),0.173,0.17263,0.0006,recomputed,PASS
Table 10,scifact |D|,5183.0,5183.0,0.0,recomputed,PASS
Table 10,scifact |Q|,300.0,300.0,0.0,recomputed,PASS
Table 10,scifact bm25 budget 0,0.676,0.676188,0.0006,recomputed,PASS
Table 10,scifact bm25 budget 100 (CE top-100),0.693,0.693297,0.0006,recomputed,PASS
Table 10,scifact dense budget 0,0.646,0.646312,0.0006,recomputed,PASS
Table 10,scifact dense budget 100 (CE top-100),0.693,0.692858,0.0006,recomputed,PASS
Table 10,scifact rrf budget 0,0.715,0.7148,0.0006,recomputed,PASS
Table 10,scifact rrf budget 100 (CE top-100),0.691,0.690833,0.0006,recomputed,PASS
Table 10,scifact alpha_fixed budget 0,0.697,0.69729,0.0006,recomputed,PASS
Table 10,scifact alpha_fixed budget 100 (CE top-100),0.693,0.692775,0.0006,recomputed,PASS
Table 10,scifact alpha_learned budget 0,0.727,0.727493,0.0006,recomputed,PASS
Table 10,scifact alpha_learned budget 100 (CE top-100),0.693,0.693342,0.0006,recomputed,PASS
Table 10,scifact alpha_learned_override budget 0,0.727,0.727493,0.0006,recomputed,PASS
Table 10,scifact alpha_learned_override budget 100 (CE top-100),0.693,0.693342,0.0006,recomputed,PASS
Table 10,scifact alpha_oracle budget 0,0.782,0.781741,0.0006,recomputed,PASS
Table 10,scifact alpha_oracle budget 100 (CE top-100),0.694,0.694056,0.0006,recomputed,PASS
Table 10,trec-covid |D|,171332.0,171332.0,0.0,recomputed,PASS
Table 10,trec-covid |Q|,50.0,50.0,0.0,recomputed,PASS
Table 10,trec-covid bm25 budget 0,0.589,0.588792,0.0006,recomputed,PASS
Table 10,trec-covid bm25 budget 100 (CE top-100),0.734,0.733895,0.0006,recomputed,PASS
Table 10,trec-covid dense budget 0,0.469,0.469225,0.0006,recomputed,PASS
Table 10,trec-covid dense budget 100 (CE top-100),0.713,0.713208,0.0006,recomputed,PASS
Table 10,trec-covid rrf budget 0,0.698,0.698315,0.0006,recomputed,PASS
Table 10,trec-covid rrf budget 100 (CE top-100),0.742,0.741574,0.0006,recomputed,PASS
Table 10,trec-covid alpha_fixed budget 0,0.544,0.543804,0.0006,recomputed,PASS
Table 10,trec-covid alpha_fixed budget 100 (CE top-100),0.725,0.72507,0.0006,recomputed,PASS
Table 10,trec-covid alpha_learned budget 0,0.692,0.692105,0.0006,recomputed,PASS
Table 10,trec-covid alpha_learned budget 100 (CE top-100),0.745,0.745419,0.0006,recomputed,PASS
Table 10,trec-covid alpha_learned_override budget 0,0.616,0.616081,0.0006,recomputed,PASS
Table 10,trec-covid alpha_learned_override budget 100 (CE top-100),0.736,0.735684,0.0006,recomputed,PASS
Table 10,trec-covid alpha_oracle budget 0,0.774,0.774306,0.0006,recomputed,PASS
Table 10,trec-covid alpha_oracle budget 100 (CE top-100),0.756,0.755754,0.0006,recomputed,PASS
Figure 3,alpha grid points,21.0,21.0,0.0,recomputed,PASS
Figure 3,queries on the tuning split,948.0,948.0,0.0,recomputed,PASS
Figure 3,share of queries with per-query range below 0.01,0.363,0.362869,0.001,recomputed,PASS
Figure 3,share with range exactly 0,0.363,0.362869,0.001,recomputed,PASS
Section 4.2,share of queries where the grid moves nDCG@10 by more than 0.01,0.637,0.637131,0.001,recomputed,PASS
Remark 1,epsilon * P(F_epsilon),0.0036,0.003629,5e-05,recomputed,PASS
Remark 1,share of the oracle advantage earned off the flat set,0.955,0.955146,0.005,recomputed,PASS
Figure 3,fiqa argmax alpha,0.7,0.7,1e-09,recomputed,PASS
Figure 3,fiqa queries,648.0,648.0,0.0,recomputed,PASS
Figure 3,scifact argmax alpha,0.4,0.4,1e-09,recomputed,PASS
Figure 3,scifact queries,300.0,300.0,0.0,recomputed,PASS
Table 8,BM25 (alpha=0) nDCG@10,0.377,0.377,5e-05,released aggregate,PASS
Table 8,BM25 (alpha=0) delta vs dense,-0.0792,-0.0792,5e-05,released aggregate,PASS
Table 8,BM25 (alpha=0) CI low,-0.1007,-0.1007,5e-05,released aggregate,PASS
Table 8,BM25 (alpha=0) CI high,-0.0576,-0.0576,5e-05,released aggregate,PASS
Table 8,Dense (alpha=1) nDCG@10,0.4562,0.4562,5e-05,released aggregate,PASS
Table 8,Dense (alpha=1) delta vs dense,0.0,0.0,5e-05,released aggregate,PASS
Table 8,Dense (alpha=1) CI low,0.0,0.0,5e-05,released aggregate,PASS
Table 8,Dense (alpha=1) CI high,0.0,0.0,5e-05,released aggregate,PASS
Table 8,RRF (k=60) nDCG@10,0.4822,0.4822,5e-05,released aggregate,PASS
Table 8,RRF (k=60) delta vs dense,0.026,0.026,5e-05,released aggregate,PASS
Table 8,RRF (k=60) CI low,0.0105,0.0105,5e-05,released aggregate,PASS
Table 8,RRF (k=60) CI high,0.0418,0.0418,5e-05,released aggregate,PASS
Table 8,Fixed alpha*=0.65 nDCG@10,0.5089,0.5089,5e-05,released aggregate,PASS
Table 8,Fixed alpha*=0.65 delta vs dense,0.0527,0.0527,5e-05,released aggregate,PASS
Table 8,Fixed alpha*=0.65 CI low,0.0405,0.0405,5e-05,released aggregate,PASS
Table 8,Fixed alpha*=0.65 CI high,0.0651,0.0651,5e-05,released aggregate,PASS
Table 8,"Learned: RandomForest(50,d5) nDCG@10",0.4711,0.4711,5e-05,released aggregate,PASS
Table 8,"Learned: RandomForest(50,d5) delta vs dense",0.0149,0.0149,5e-05,released aggregate,PASS
Table 8,"Learned: RandomForest(50,d5) CI low",-0.0022,-0.0022,5e-05,released aggregate,PASS
Table 8,"Learned: RandomForest(50,d5) CI high",0.0324,0.0324,5e-05,released aggregate,PASS
Table 8,"Learned: RandomForest(500,d16) nDCG@10",0.4731,0.4731,5e-05,released aggregate,PASS
Table 8,"Learned: RandomForest(500,d16) delta vs dense",0.017,0.017,5e-05,released aggregate,PASS
